"Name","Vendor","License","Transactional","Under active development"
"Archive","Oracle","GPL","No","Yes"
"Aria","MariaDB","GPL","No","Yes"
"Berkeley DB","Oracle","AGPLv3","?","No"
"BlitzDB","?","GPL","No","Yes"
"CONNECT","MariaDB","GPL","?","Yes"
"CSV","Oracle","GPL","No","Yes"
"Falcon","Oracle","GPL","Yes","No"
"InfiniDB","Calpont","GPL","Yes","Yes"
"InnoDB","Oracle","GPL","Yes","Yes"
"JortsDB","Jorts Inc.","GPL","Yes","Yes"
"MyISAM","Oracle","GPL","No","No"
"NDB","Oracle","GPLv2","Yes","Yes"
"TokuDB","TokuTek","Modified GPL","Yes","Yes"
"WiredTiger","WiredTiger","GPL","Yes","Yes"
"XtraDB","Percona","GPL","Yes","Yes"
"Federated","Oracle","GPL","?","No"
"FederatedX","MariaDB","GPL","?","Yes"
"CassandraSE","MariaDB","GPL","No","Yes"
"sequence","MariaDB","GPL","Yes","Yes"
"mroonga","MariaDB","GPL","?","Yes"
"SphinxSE","Sphinx Technologies","GPL","No","Yes"
