"Name","License","Cost","OS X","Unix-like","Windows","Audio","Images","Video","Transcoding","Web Interface","DLNA support","Multilingual","Implementation","Subtitles","Still Supported"
"360 Media Server","GPL","Free","No","Yes","Yes","Yes","No","No","Yes","Yes","Unknown","Unknown","Java","Unknown","Unknown"
"aVia Media Player","Prop.","Free","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Java","Unknown","Yes"
"BRisa","MIT","Free","Partial","Partial","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Python","Unknown","Unknown"
"Coherence","MIT","Free","Partial","Partial","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Python","Unknown","Unknown"
"DivX","Prop.","Free","Yes","No","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","Unknown","Unknown","Unknown"
"Elgato Eyeconnect","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown","Unknown","No"
"Foobar2000","Prop.","Free","No","No","Yes","Yes","No","No","Yes","No","Unknown","Unknown","C++","Unknown","Yes"
"FUPPES","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Unknown","C++","Unknown","No"
"GeeXboX uShare","GPL","Free","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C","Unknown","Unknown"
"Gmediaserver","GPL","Free","No","Yes","No","Yes","No","Yes","No","No","Unknown","Unknown","C","Unknown","Unknown"
"Home Media Center","GPLv2","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++ / C#","Yes","Yes"
"iSedora Media Server","Prop.","Non-free","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Objective C / C++ / JavaScript","Unknown","Yes"
"Jamcast","Prop.","Free","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","C++ / C# / Java","Unknown","Yes"
"JRiver Media Center","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes"
"Kodi Entertainment Center","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","C++","Yes","Yes"
"KooRaRoo Media","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes"
"LimboMedia","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown","Java","Yes","Yes"
"LXiMedia","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes, mandatory","Yes","Yes","Unknown","C++","Yes","Unknown"
"Majestic Media Server","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"MediaMonkey","Prop.","Non-free","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Delphi","Yes","Yes"
"MediaTomb","GPL","Free","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","Unknown"
"ReadyMedia (formerly MiniDLNA)","GPL/BSD","Free","Partial","Yes","Yes","Yes","Yes","Yes","Partial","Partial","Yes","Unknown","C","Yes","Unknown"
"Mezzmo","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","C++","Yes","Yes"
"myiHome","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown","Java","Unknown","Unknown"
"MythTV with uPnP","GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","C++","Unknown","Unknown"
"Nullriver Medialink","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Yes","Unknown"
"PlayOn","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C#","Partial","Unknown"
"Plex","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++ / Python","Yes","Yes"
"PS3 Media Server","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes"
"PyMedS","MIT","Free","Partial","Partial","No","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Python","Unknown","Unknown"
"Rygel","LGPLv2","Free","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Vala","Unknown","Yes"
"Rivet","Prop.","Free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No"
"Serviio","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Partial","Unknown"
"SimpleCenter Premium","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Skifta","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Java","Unknown","Unknown"
"Songbird","GPLv2","Free","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","C++","No","No"
"TVble","Prop.","Free","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","C#/C++","Unknown","Yes"
"TVersity","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes"
"TVMOBiLi","Prop.","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","C++","Yes","Yes"
"TVShare","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Java","Unknown","Unknown"
"TwonkyServer","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"Universal Media Server","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes"
"Windows Media Connect","Prop.","Free","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown","Unknown","Yes"
"Wild Media Server","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi","Yes","Yes"
"xupnpd","GPLv2","Free","No","Yes","No","Yes","Unknown","Yes","No","Yes","Yes","Unknown","C++","Unknown","Unknown"
"Yazsoft Playback","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No"
"Name","License","Cost","OS X","Unix-like","Windows","Audio","Images","Video","Transcoding","Web Interface","DLNA support","Multilingual","Implementation","Subtitles","Still Supported"
